epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.691,1.93059,1.53435,1.57894,0.38226,0.66346,0.33626,0.14699,1.9824,2.14298,1.74063,0.000651515,0.000651515,0.000651515
2,242.879,1.71114,0.88797,1.42472,0.50055,0.60403,0.43075,0.1885,nan,nan,nan,0.00130513,0.00130513,0.00130513
3,421.549,1.75064,0.8792,1.44455,0.23975,0.67335,0.19885,0.08504,2.15736,inf,2.59796,0.00194555,0.00194555,0.00194555
4,499.715,1.66987,0.77506,1.38886,0.53052,0.66652,0.41189,0.20021,2.13526,5.07546,2.99697,0.0019406,0.0019406,0.0019406
5,601.587,1.68134,0.78432,1.39451,0.85869,0.82096,0.85625,0.42319,1.76837,0.86624,1.61504,0.0019208,0.0019208,0.0019208
6,709.451,1.64723,0.73851,1.38418,0.8381,0.81007,0.85488,0.38641,1.92805,0.88952,1.75,0.001901,0.001901,0.001901
7,808.344,1.62441,0.85832,1.37462,0.81405,0.70476,0.76155,0.3707,1.83805,1.05624,1.63727,0.0018812,0.0018812,0.0018812
8,906.08,1.61732,0.73028,1.38007,0.85696,0.81075,0.85384,0.44702,1.67411,0.77172,1.52129,0.0018614,0.0018614,0.0018614
9,994.113,1.61203,0.72003,1.37805,0.86832,0.85062,0.88874,0.46837,1.7014,0.74529,1.54665,0.0018416,0.0018416,0.0018416
10,1137.38,1.59221,0.70237,1.36311,0.87241,0.79794,0.85263,0.43267,1.7643,0.83241,1.57155,0.0018218,0.0018218,0.0018218
11,1217.97,1.59182,0.69367,1.35039,0.88518,0.86797,0.90763,0.47402,1.68997,0.7322,1.54249,0.001802,0.001802,0.001802
12,1297.13,1.55625,0.66834,1.31707,0.89554,0.86468,0.91207,0.48596,1.67887,0.66312,1.51254,0.0017822,0.0017822,0.0017822
13,1401.11,1.56248,0.66724,1.34683,0.88199,0.87123,0.90921,0.46281,1.69798,0.72156,1.539,0.0017624,0.0017624,0.0017624
14,1501.73,1.5716,0.66171,1.33988,0.88319,0.86797,0.89923,0.44501,1.73439,0.69466,1.55362,0.0017426,0.0017426,0.0017426
15,1619.94,1.54697,0.64968,1.31691,0.89798,0.85606,0.90395,0.48016,1.68219,0.66433,1.51787,0.0017228,0.0017228,0.0017228
16,1713.62,1.54605,0.64978,1.31824,0.88892,0.87611,0.9119,0.492,1.6276,0.67442,1.50096,0.001703,0.001703,0.001703
17,1784.17,1.51441,0.64228,1.31736,0.88525,0.87164,0.90977,0.46449,1.72534,0.69671,1.56788,0.0016832,0.0016832,0.0016832
18,1967.06,1.50539,0.62447,1.31846,0.89167,0.87962,0.91659,0.47274,1.71645,0.66457,1.54781,0.0016634,0.0016634,0.0016634
19,2102.2,1.52212,0.62731,1.29725,0.90329,0.89003,0.92737,0.5012,1.6536,0.65816,1.50397,0.0016436,0.0016436,0.0016436
20,2166.56,1.50403,0.61307,1.29775,0.90042,0.88558,0.92099,0.49778,1.62389,0.62445,1.49215,0.0016238,0.0016238,0.0016238
21,2299.21,1.4688,0.60379,1.28108,0.90575,0.8694,0.91766,0.49942,1.64421,0.64353,1.50027,0.001604,0.001604,0.001604
22,2395.73,1.50691,0.61577,1.29333,0.90002,0.87038,0.9181,0.50017,1.61074,0.68474,1.46876,0.0015842,0.0015842,0.0015842
23,2467.09,1.48833,0.61508,1.29485,0.89831,0.87308,0.91462,0.50004,1.64299,0.63632,1.49484,0.0015644,0.0015644,0.0015644
24,2634.14,1.47683,0.60155,1.27203,0.90313,0.88719,0.92986,0.51488,1.6081,0.63181,1.46267,0.0015446,0.0015446,0.0015446
25,2794.12,1.45049,0.58956,1.26453,0.90886,0.87886,0.91938,0.50329,1.64659,0.65193,1.49138,0.0015248,0.0015248,0.0015248
26,2897.18,1.45998,0.59264,1.27564,0.89453,0.87798,0.91007,0.49103,1.62793,0.63774,1.48986,0.001505,0.001505,0.001505
27,2988.82,1.47028,0.59923,1.2854,0.89976,0.89738,0.92674,0.50782,1.63024,0.63542,1.47582,0.0014852,0.0014852,0.0014852
28,3070.24,1.46607,0.59235,1.27529,0.90482,0.89369,0.92978,0.51362,1.62403,0.63031,1.4859,0.0014654,0.0014654,0.0014654
29,3130.39,1.45665,0.5867,1.28707,0.90825,0.90091,0.93742,0.51399,1.61619,0.61783,1.47583,0.0014456,0.0014456,0.0014456
30,3298.95,1.43869,0.57787,1.2769,0.90737,0.90193,0.93367,0.52046,1.61903,0.6082,1.46891,0.0014258,0.0014258,0.0014258
31,3399.67,1.43757,0.5733,1.27555,0.90422,0.86844,0.90909,0.49073,1.64566,0.64598,1.48543,0.001406,0.001406,0.001406
32,3480.88,1.44256,0.57514,1.26713,0.91051,0.88305,0.92412,0.51073,1.6192,0.62351,1.47832,0.0013862,0.0013862,0.0013862
33,3612.3,1.45862,0.59705,1.28355,0.90818,0.90142,0.93318,0.51827,1.62402,0.60179,1.47434,0.0013664,0.0013664,0.0013664
34,3740.5,1.39883,0.59844,1.24399,0.91133,0.89335,0.92954,0.52258,1.59453,0.60915,1.45601,0.0013466,0.0013466,0.0013466
35,3866.09,1.4164,0.55766,1.25068,0.9152,0.89981,0.9345,0.52426,1.58859,0.58904,1.44735,0.0013268,0.0013268,0.0013268
36,3945.71,1.41099,0.56107,1.27133,0.90981,0.89602,0.9272,0.51653,1.61792,0.60758,1.47735,0.001307,0.001307,0.001307
37,4172.96,1.39784,0.54784,1.23748,0.90866,0.9088,0.9325,0.51134,1.63381,0.61352,1.48295,0.0012872,0.0012872,0.0012872
38,4237.27,1.40649,0.54758,1.27108,0.90837,0.91054,0.9362,0.52265,1.60776,0.58989,1.46131,0.0012674,0.0012674,0.0012674
39,4339.52,1.40566,0.55042,1.23364,0.91867,0.89394,0.93302,0.52921,1.59401,0.60135,1.4601,0.0012476,0.0012476,0.0012476
40,4447.12,1.39427,0.54653,1.24446,0.91652,0.89762,0.93105,0.52445,1.57781,0.59185,1.45533,0.0012278,0.0012278,0.0012278
41,4535.29,1.37523,0.54107,1.2314,0.91511,0.90383,0.93181,0.51591,1.60568,0.60204,1.46489,0.001208,0.001208,0.001208
42,4611.24,1.42248,0.56384,1.23965,0.9193,0.90642,0.93502,0.53037,1.59244,0.58159,1.46478,0.0011882,0.0011882,0.0011882
43,4746.52,1.36793,0.53072,1.21041,0.9182,0.90038,0.93534,0.53008,1.60962,0.58481,1.46709,0.0011684,0.0011684,0.0011684
44,4872.61,1.37617,0.55355,1.23409,0.92201,0.90324,0.93564,0.52442,1.59518,0.58228,1.44219,0.0011486,0.0011486,0.0011486
45,4938.58,1.36485,0.53626,1.22815,0.90952,0.90183,0.92922,0.52119,1.58644,0.59209,1.43708,0.0011288,0.0011288,0.0011288
46,5075.78,1.3487,0.52227,1.21824,0.90187,0.91536,0.93442,0.5292,1.6116,0.58111,1.46419,0.001109,0.001109,0.001109
47,5193.56,1.35148,0.53106,1.21668,0.92325,0.90847,0.94623,0.54754,1.57329,0.57334,1.44206,0.0010892,0.0010892,0.0010892
48,5314.93,1.36864,0.52618,1.23108,0.91346,0.91221,0.93486,0.54339,1.56356,0.57394,1.44081,0.0010694,0.0010694,0.0010694
