epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,5388.58,1.36744,0.53087,1.22271,0.91367,0.90687,0.9355,0.52618,1.6002,0.58312,1.45797,0.0010496,0.0010496,0.0010496
50,5501.33,1.34235,0.51739,1.20467,0.90499,0.90978,0.93396,0.53866,1.57026,0.58352,1.43322,0.0010298,0.0010298,0.0010298
51,5606.3,1.32199,0.51367,1.20702,0.9185,0.90962,0.93964,0.54596,1.55575,0.56151,1.44135,0.00101,0.00101,0.00101
52,5713.88,1.35369,0.51758,1.21036,0.92457,0.90433,0.93692,0.53646,1.5666,0.5683,1.42902,0.0009902,0.0009902,0.0009902
53,5840.22,1.34592,0.52362,1.21462,0.91454,0.90577,0.93451,0.53119,1.58515,0.57604,1.45232,0.0009704,0.0009704,0.0009704
54,5901.43,1.32868,0.51403,1.21053,0.92303,0.91523,0.94702,0.54965,1.57876,0.55927,1.44322,0.0009506,0.0009506,0.0009506
55,6008.26,1.33272,0.51334,1.19576,0.92233,0.91031,0.93914,0.54751,1.56618,0.55443,1.4392,0.0009308,0.0009308,0.0009308
56,6108.95,1.32315,0.50241,1.22471,0.91981,0.91271,0.94501,0.53922,1.57501,0.56473,1.46353,0.000911,0.000911,0.000911
57,6195.73,1.31088,0.57364,1.20174,0.91536,0.91257,0.94133,0.53842,1.58833,0.56499,1.44323,0.0008912,0.0008912,0.0008912
58,6301.89,1.29488,0.49795,1.17532,0.91886,0.90547,0.94091,0.54265,1.58986,0.56451,1.43918,0.0008714,0.0008714,0.0008714
59,6374.23,1.28171,0.49496,1.1889,0.92356,0.90167,0.93515,0.53452,1.58707,0.5564,1.45434,0.0008516,0.0008516,0.0008516
60,6493.12,1.29456,0.50212,1.19367,0.91939,0.9056,0.93875,0.53668,1.58155,0.55836,1.45491,0.0008318,0.0008318,0.0008318
61,6584.57,1.28456,0.49533,1.1988,0.92206,0.90497,0.94094,0.54805,1.57723,0.55914,1.45577,0.000812,0.000812,0.000812
62,6683.94,1.287,0.48859,1.17501,0.91187,0.90075,0.92863,0.51036,1.65125,0.57588,1.50421,0.0007922,0.0007922,0.0007922
63,6800.24,1.31082,0.53401,1.19381,0.92074,0.8994,0.93451,0.53696,1.57875,0.5672,1.44996,0.0007724,0.0007724,0.0007724
64,6895.43,1.25762,0.48058,1.17281,0.92643,0.9063,0.93898,0.54915,1.55642,0.55633,1.43701,0.0007526,0.0007526,0.0007526
65,7008,1.28743,0.49111,1.18776,0.92416,0.90687,0.9451,0.55121,1.56838,0.55436,1.44172,0.0007328,0.0007328,0.0007328
66,7122.8,1.25775,0.47818,1.16083,0.92567,0.91586,0.9456,0.55795,1.55293,0.54544,1.42632,0.000713,0.000713,0.000713
67,7219.22,1.30252,0.57365,1.2119,0.92659,0.90636,0.94189,0.55268,1.55959,0.55297,1.42954,0.0006932,0.0006932,0.0006932
68,7328.25,1.25525,0.47888,1.17444,0.92468,0.91002,0.94288,0.55596,1.56142,0.55607,1.44589,0.0006734,0.0006734,0.0006734
69,7438.62,1.24523,0.47227,1.16066,0.9261,0.91498,0.94644,0.55002,1.56799,0.54874,1.44528,0.0006536,0.0006536,0.0006536
70,7604.1,1.27211,0.47958,1.16289,0.92428,0.90307,0.93863,0.54237,1.5895,0.5624,1.45379,0.0006338,0.0006338,0.0006338
71,7711.7,1.23318,0.47479,1.15747,0.9209,0.90661,0.93873,0.54343,1.57539,0.55227,1.45021,0.000614,0.000614,0.000614
72,7802.92,1.23519,0.47123,1.16587,0.92244,0.90801,0.93845,0.54322,1.57463,0.55425,1.44557,0.0005942,0.0005942,0.0005942
73,7934.04,1.24194,0.47081,1.16464,0.91683,0.91495,0.93724,0.53896,1.5939,0.55087,1.47532,0.0005744,0.0005744,0.0005744
74,7998.66,1.22506,0.46259,1.1413,0.92404,0.9063,0.94048,0.55158,1.56428,0.55388,1.45061,0.0005546,0.0005546,0.0005546
75,8123.36,1.22699,0.46608,1.14687,0.91839,0.91244,0.93846,0.54454,1.57814,0.55365,1.45861,0.0005348,0.0005348,0.0005348
76,8236.03,1.22379,0.47099,1.13826,0.92968,0.90797,0.94159,0.55254,1.56427,0.55236,1.44843,0.000515,0.000515,0.000515
77,8326,1.2189,0.46776,1.14052,0.91711,0.91232,0.93491,0.54054,1.57857,0.55435,1.46513,0.0004952,0.0004952,0.0004952
78,8400.26,1.23038,0.46762,1.1439,0.92185,0.90874,0.93735,0.54027,1.56498,0.55134,1.45044,0.0004754,0.0004754,0.0004754
79,8506.19,1.21769,0.46129,1.15168,0.92103,0.91067,0.93704,0.54319,1.57001,0.54349,1.45478,0.0004556,0.0004556,0.0004556
80,8576.39,1.2094,0.4622,1.16324,0.92459,0.9119,0.9396,0.54645,1.56326,0.54184,1.45148,0.0004358,0.0004358,0.0004358
81,8747.36,1.19934,0.45489,1.12904,0.92461,0.90595,0.93781,0.54856,1.56412,0.55366,1.46082,0.000416,0.000416,0.000416
82,8823.25,1.18269,0.44655,1.13443,0.9237,0.91419,0.94166,0.54699,1.57593,0.54812,1.45772,0.0003962,0.0003962,0.0003962
83,8915.68,1.19343,0.45068,1.13746,0.91908,0.92113,0.94435,0.54717,1.56744,0.54382,1.44946,0.0003764,0.0003764,0.0003764
84,9016.85,1.16761,0.4435,1.11983,0.93062,0.9127,0.94436,0.55363,1.56629,0.53764,1.45417,0.0003566,0.0003566,0.0003566
85,9100.9,1.16805,0.4414,1.12993,0.92292,0.91334,0.94388,0.55233,1.56951,0.54409,1.46091,0.0003368,0.0003368,0.0003368
86,9176.58,1.17383,0.44422,1.12109,0.92557,0.90755,0.94384,0.55283,1.57077,0.55201,1.46135,0.000317,0.000317,0.000317
87,9277.22,1.16553,0.45044,1.123,0.91509,0.91768,0.94058,0.55475,1.57351,0.5447,1.46671,0.0002972,0.0002972,0.0002972
88,9373.16,1.18696,0.44223,1.14787,0.9184,0.91555,0.94029,0.54521,1.57102,0.54497,1.45978,0.0002774,0.0002774,0.0002774
89,9463.24,1.16351,0.44491,1.11444,0.92238,0.91395,0.94003,0.54762,1.56825,0.54555,1.46296,0.0002576,0.0002576,0.0002576
90,9637.94,1.16768,0.43808,1.13075,0.91624,0.91755,0.93905,0.54869,1.57735,0.54686,1.46982,0.0002378,0.0002378,0.0002378
91,9760.76,1.18774,0.43982,1.16453,0.92715,0.90786,0.93772,0.54811,1.58551,0.54593,1.477,0.000218,0.000218,0.000218
92,9838.09,1.16303,0.42013,1.16408,0.91833,0.91898,0.94055,0.5483,1.5724,0.54032,1.46211,0.0001982,0.0001982,0.0001982
93,9942.87,1.14959,0.41349,1.15651,0.9183,0.91863,0.9429,0.55424,1.5742,0.53905,1.47927,0.0001784,0.0001784,0.0001784
94,10031.8,1.15196,0.42745,1.14179,0.92049,0.91878,0.9442,0.55812,1.5742,0.54538,1.4662,0.0001586,0.0001586,0.0001586
95,10118.2,1.11313,0.40364,1.12204,0.92364,0.91523,0.94401,0.55556,1.57328,0.53927,1.47707,0.0001388,0.0001388,0.0001388
96,10181.8,1.14047,0.41058,1.14779,0.91945,0.91984,0.94479,0.56044,1.56861,0.53953,1.46698,0.000119,0.000119,0.000119
97,10278.8,1.11684,0.41343,1.12926,0.91904,0.91903,0.94603,0.55996,1.57268,0.54283,1.47169,9.92e-05,9.92e-05,9.92e-05
98,10348.8,1.11529,0.40461,1.14653,0.9213,0.91375,0.9453,0.56107,1.57154,0.54221,1.47588,7.94e-05,7.94e-05,7.94e-05
99,10428,1.1151,0.39983,1.12957,0.919,0.91714,0.94392,0.55874,1.57039,0.53853,1.47969,5.96e-05,5.96e-05,5.96e-05
100,10548,1.10204,0.39918,1.12334,0.91777,0.92043,0.94536,0.5613,1.57227,0.54115,1.48238,3.98e-05,3.98e-05,3.98e-05
