               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.036889,             0.27197,                   0,             0.91458,              0.9113,             0.93307,             0.51143,             0.03796,              0.2123,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.037602,             0.27343,                   0,             0.91779,             0.91102,             0.93562,              0.5263,            0.036919,             0.21197,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.037584,             0.27556,                   0,             0.91554,             0.89687,             0.93061,              0.4869,            0.039577,             0.21597,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.03657,             0.26669,                   0,             0.92071,             0.90813,             0.93652,             0.52111,            0.037363,             0.21415,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.037045,             0.27371,                   0,              0.9326,             0.89947,             0.93828,             0.52373,            0.036937,             0.21397,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.037975,             0.28388,                   0,             0.92031,             0.90991,             0.93763,             0.51998,             0.03743,             0.21222,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.036803,              0.2629,                   0,             0.92054,             0.90714,             0.93095,             0.52657,            0.037053,             0.21201,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.036933,             0.26917,                   0,             0.92322,             0.90269,             0.93375,             0.51966,            0.037247,             0.21257,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.037542,             0.27033,                   0,             0.92632,             0.90963,             0.94177,             0.53204,            0.036715,             0.21169,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.037616,             0.28173,                   0,             0.92833,             0.90281,             0.93861,             0.52936,            0.036661,             0.21371,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.036984,             0.28005,                   0,             0.92271,             0.90464,             0.93578,             0.53467,            0.036619,             0.21207,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.036849,             0.26987,                   0,               0.929,             0.89774,             0.93336,             0.52819,            0.036863,             0.21154,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.037291,             0.27924,                   0,             0.93032,             0.90826,             0.93872,             0.53257,            0.036596,             0.21163,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.036008,             0.26479,                   0,             0.92948,              0.9052,             0.93838,             0.53796,            0.036488,             0.21144,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.035358,             0.26236,                   0,             0.92014,             0.90658,             0.93245,             0.50408,             0.03817,             0.21507,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.036888,              0.2859,                   0,             0.92549,             0.91257,             0.94012,             0.53756,            0.036314,             0.21095,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.036273,             0.26835,                   0,             0.92423,             0.90573,             0.93772,             0.52928,            0.036505,              0.2129,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.03613,             0.26597,                   0,             0.92334,             0.91396,             0.94082,             0.53535,            0.036312,             0.21019,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.03605,              0.2604,                   0,             0.92563,              0.9037,             0.93842,             0.52788,            0.036802,             0.21279,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.037211,             0.29511,                   0,             0.92907,             0.90124,             0.93518,             0.52707,            0.037136,             0.21523,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.036648,             0.27115,                   0,             0.92704,             0.90479,             0.93699,             0.54137,            0.036143,             0.21308,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.035978,             0.27125,                   0,             0.92789,             0.90585,             0.93822,             0.53317,            0.036813,             0.21548,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.035611,              0.2722,                   0,             0.92647,              0.9094,             0.93944,              0.5398,            0.036288,             0.21381,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.035181,             0.26975,                   0,             0.92739,             0.91624,             0.94338,             0.53734,            0.036255,             0.21239,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.035856,              0.2632,                   0,             0.93143,             0.90902,             0.94268,             0.53258,            0.036809,             0.21331,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.036462,             0.26728,                   0,              0.9233,              0.9045,              0.9388,             0.53631,            0.036464,             0.21303,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.034032,             0.25139,                   0,             0.92495,              0.9135,             0.94305,             0.54252,             0.03614,             0.21149,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.036961,             0.28733,                   0,             0.92399,             0.90565,             0.93702,             0.53387,             0.03642,             0.21673,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.035715,             0.27236,                   0,             0.92083,             0.91228,             0.93594,             0.53583,            0.036624,             0.21391,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.035341,             0.26374,                   0,             0.92925,             0.90532,             0.93822,              0.5376,            0.036199,             0.21283,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.034977,             0.26715,                   0,             0.92422,             0.91486,              0.9402,             0.54252,            0.036018,             0.21259,                   0,            0.003268,            0.003268,            0.003268
